apk,des,per,pp,ui,cg,des_psg,BLEU-n_psg,ROUGE-L_psg,des_ctx,BLEU-n,ROUGE-L
com.sqzsoft.speedalarm,Use GPS to monitor your actual speed and give you sound/voice/flashlight alarms when you exceed a speed that you asked it to watch,location,"for example, when using our navigation or localization apps, we must collect your precise location, speed and bearings",current speed go back,set content view run execute start run background execute executor get current location start get speed execute start activity get provider get last known location, onsaveinstancestate  this code segment is used to save the instance state of the application  in a bundle and then save it to the android,9.006543512380874,15.384614884944131, access your current location to get the current location in gps,3.2082503366041593,14.28571384948981
jack.martin.mykeyboard.myphotokeyboard, Direct Contacts Share From Keyboard,contact,"Our app uses permission for providing more functionallity to 
user (permissions like contact book",FONT SIZE FONT COLOR Key Text Color Preview Text Color Dictionary Select Languages Key Sound List Keyboard Style Prompt Cancel Apply Crop ,get contact open contact photo input stream , is to provide a centralized location for handling errors that may occur during the execution of the app,0.0,0.0, read contacts to read the contacts in contacts,5.677983649215282,19.999999500000015
com.gpsmycity.android.u36,It comes with detailed walk route maps and powerful navigation features,location,FindMe displays your exact location and `Auto Tracking` displays your movement on the map (this feature is not supported on devices without built-in GPS hardware),My Account Custom Location TextView find me fullscreen map save a location saved locations City Attractions City Walks clear search subway & train station subway entrance bus & tram tram stop bus station bus stop food & drinks cafe fast food restaurant pub shopping bakery convenience supermarket grocery information accomodation hostel hotel motel nightclubs money atm bank bureau de change recreation museum library zoo viewpoint park historic archaeological site battlefield castle memorial place of worship medical hospital pharmacy education college university leisure & culture arts centre cinema theatre stadium automobile fuel parking car rental ferry terminal bicycle rental public services toilets police post office taxi Tour,need display distance location surface location initialize map view get speed initialize map request location update,mapactivity app is to provide a user interface for an android application that allows users to view and interact with community maps and measurement locations,5.934165563338308,17.647058385813157, location to track the current location and gps location on your current current location,3.1613146643144376,9.999999505000023
com.snappii_corp.vehicle_inspection_and_maintenance,Take or upload pictures to report and prove issues,camera,"In order for you to upload a photo or video, we request access to a photo gallery, camera and / or microphone on your tablet or phone.",take picture gallery upload select photos cancel ok go back exit,set content view get camera device id list set parameter auto focus click open camera set click listener click take photo set click listener click open gallery set gallery layout paras get content set click listener click upload get photo list get image id get image title, the location and tags of the report  and the location of the report,8.756876221003553,26.66666618666667, take a photo with your camera or select your photo from gallery,6.288124191571636,21.052631080332425
com.snapchat.android,Tap to take a photo,camera,camera is used in real time.,open camera tap or press for photo or video,get camera open open camera auto focus set preview size set picture size click take picture , the ui includes options to take a photo with the camera,30.539441349648147,53.3333328888889, this app allows you to the app in the camera,4.484730818445522,15.38461491124262
filter.camera.snap.photo.video.panorama,Tap to take a photo,camera,camera is used in real time.,open camera tap or press for photo or video,get camera open open camera auto focus set preview size set picture size click take picture , the ui includes options to take a photo with the camera,30.539441349648147,53.3333328888889, this app allows you to the app in the camera,4.484730818445522,15.38461491124262
com.maiko.scanpet,The camera on your device is used to scan barcodes and look up item information,camera,"The app needs to access the camera to scan barcodes, and also to take photos if you want to link a photo to an item in your database. The app never accesses the camera sensors except you request it from the app.",scanning,set click listener click click get camera start scan open camera run, and enabling various features like location services  and location updates  is used to track the window,18.3113689389813,20.68965467300833, the app will be video in your phone and app with the app that you can be your photo in an app,4.718100347516855,19.999999500000015
com.maineavtech.android.contactspoint,This application allows you to transfer within a few seconds all your contacts to your new phone.,contact,The ContactsPoint App provides a way for users to import their contacts from an old mobile phone into the Smartphone where the App is installed and used.,Import Contacts Contact transfered from your old device,process queue save contact run , a list of invited contacts  an add contacts view  and a button to invite contacts to join the chat,9.66468698022585,19.99999950000001, this app is your contacts,2.389912246517413,29.999999625
com.healthinteract.myinteract,QR code scanner and passcode features to easily connect with new communities and events,camera,"camera is used to scan QR code and barcode, this is main feature of the app.",start scanning put qr code in the square region exit,set content view start activity get camera device click open camera set parameter, the app includes a qr code scanner and displays a dialog when the android camera encounters a problem,18.190380913939425,28.5714280739796, scan the barcode and barcode camera,2.044820004959369,11.111110709876558
co.infinum.ptvtruck,Search by location and destination,location,"Sometimes our services require us to collect your location data (through GPS). If that is the case, you will be requested to grant consent beforehand.","User locations are used to calculate planned routes, find near by places and when checking in at parking places Get current location save location",get time get last location get location set get last known location ,s location and camera,25.00250591400521,44.44444395061729, the app uses your location and get a picture to get you to scan on the map,6.638763294693575,21.052631191135738
com.lonelycatgames.Xplore,Manage files from a PC web browser,storage,X-plore can: read/write/delete in device??s internal or external memory,Save File File already exists: ,"get external storage directory request result create pause 
", or scanning files from the external storage,16.862012739611025,28.571428071428578, you can save the photo to your phone and share the be photo will save the photo to you you can save the photo in the gallery or share a photo or share it or share,1.2080588878220184,8.333332920138908
g.patels.spell,The basic concept of this application is to convert voice to text,microphone,Our apps need android.permission.RECORD_AUDIO permission to access your microphone.,Voice Search,activity result language available set speech rate set language set pitch install flabby bird speak click click text speech click show click speak click item selected ,the purpose of this app is to allow users to cut and modify a ringtone,19.02030185399912,39.9999995072, record audio notes and record your voice microphone,3.44387116859609,11.111110635802488
com.appmindlab.nano,Camera access,camera,camera access,open camera exit,get camera id get camera device click open camera, microphone access,26.17965237082948,49.99999950000001, take a photo or take a picture with camera or select your photo from gallery,2.944456754818198,15.384615124260359
com.colorfx.android,Save to gallery,storage,"to save photos to the device, the app first need access to your device storage.",save image,run get external stroage directory run,s camera and gallery,12.457078372098724,28.57142808163266, save your own music music and external in app will be be text download stored etc etc,2.589413283930688,11.764705591695508
com.titan.tpnature,Save to gallery,storage,"to save photos to the device, the app first need access to your device storage.",save image,run get external stroage directory run,s camera and gallery,12.457078372098724,28.57142808163266, save your own music music and external in app will be be text download stored etc etc,2.589413283930688,11.764705591695508
com.hovans.autoguard,Capture photos at important situation automatically,camera,"com with captions for location and time information- Capture photos at important situation automaticallyBackground recording
Snapshot (supports auto focus, flash & gallery)",You can record a video in background process Start Recording Stop Recording Home app,open set preview size get video sizes preview frame get preview format start preview ,s excel sheet stored at a location,6.553810101428183,15.38461488757398, take photos and videos with the camera,6.553810101428183,15.38461488757398
com.bgmenu.android,Use the locator or fill in your address manually,location,"When you open the Application, we may use GPS technology (or other similar technology) to determine your current location and display a location map.",GPS Location Address Load Location Settings Current Location,get last known location receive night configuration run apply day night dispatch time set local night mode ensure auto night mode manager get night mode map night mode start run get speed,s state after being saved in the device,8.452663537878221,11.764705384083063, this app uses your location to gps you with send gps and name and view your location to view,2.3109268076249547,9.090908607438044
crazy.snap.photo.effect.editor.snap.pic.collage.insta.square.snap.effect.app.free,You select your photo from camera and gallery and make awesome face photo also you change your own photo with another person,camera,Camera Permission allows Photo Collage Maker to use your device??s camera to take Photos / Videos and turn ON/OFF Camera Flash. We do not save or upload your photos/videos.,Snap Photo Effect Camera Photo Editor  Save Photo,open camera get preview size preview frame run add buffer , and a camera and gallery button  or to capture an image using the camera,10.28346198142701,20.689654687277063, take photos and videos with the camera,1.7902919491543532,16.666666253472233
org.dhamma,Find locations near you that offer Vipassana Meditation courses ,location,we need access to your location information to get your current position,Enable Location in Settings Locations Near You,get location provider get longitude get latitude get night mode get last known location, location  agenda locations  event locations,4.280875009418903,15.384614958579892, the app can be you to your location or location from a gps,3.4127942869901453,9.523809034013633
com.andi.alquran.bangla,Qibla direction from your location,location,"When you use the mobile application, we do use GPS technology (or other similar technology) to determine the device speed, this is the core functionality of the application.","Please turn on GPS/Location first from your settings menu, to be more accurate get your location. Change Location",get current location run get distance run get direction, such as its location,9.701582390972348,22.22222172839508, this app uses your location to gps you with gps and track your location to track your location,6.260507405648912,24.999999570312507
com.blion.games.leggereEng,Clicking on the microphone icon it will be possible to record the pronunciation of the word using your own voice.,microphone,"Some of our apps may need Record Audio and External Data Storage, it is used only to improve the user experience in our apps such as recording words and storing the results.",start end display words playback return,create set content view run set audio source execute initialized prepare click start recording stop release get text, and checks the system features and version of the android sdk to determine if the microphone and camera are available,13.488333164830644,11.764705384083063, you can download and share your voice in a card,2.5265103275086624,14.285713826530626
ms.dev.luaplayer_va,Modify or delete the contents of your USB storage: to delete media files and thumbnails when receiving user action,storage,this app needs storage permission.,refresh select delete cancel return cleanup file,click listener refresh execute task load video generate string cleanup cache force get instance show video handle start get external storage directory,the purpose of this app is to display a contact list and provide users with options to delete contacts,10.831790670571218,22.22222172222224, download and save your friends to sd and save your phone,4.21417142650367,23.07692265088758
mobi.infolife.ezweather.widget.weatherchannel.accurate,This clock weather app displays weather temperature based on your current location,location,we may track information such as your current location or user defined location,set location weather temperature Monday Tuesday Wednesday Thursday Friday Saturday Sunday ,set content view get last known location,s country and shows the appropriate rating guide based on their location,12.58440046131092,26.08695602268432, you can use your current location to get gps information and get directions to your friends on your location,14.693669140636414,23.999999507200005
mobi.infolife.ezweather.widget.rainy.new2018,This clock weather app displays weather temperature based on your current location,location,we may track information such as your current location or user defined location,set location weather temperature Monday Tuesday Wednesday Thursday Friday Saturday Sunday ,set content view get last known location,s country and shows the appropriate rating guide based on their location,12.58440046131092,26.08695602268432, you can use your current location to get gps information and get directions to your friends on your location,14.693669140636414,23.999999507200005
mobi.infolife.ezweather.widget.liveweather_forecast,This clock weather app displays weather temperature based on your current location,location,we may track information such as your current location or user defined location,set location weather temperature Monday Tuesday Wednesday Thursday Friday Saturday Sunday ,set content view get last known location,s country and shows the appropriate rating guide based on their location,12.58440046131092,26.08695602268432, you can use your current location to get gps information and get directions to your friends on your location,14.693669140636414,23.999999507200005
mobi.infolife.ezweather.widget.weather.channel.free,This clock weather app displays weather temperature based on your current location,location,we may track information such as your current location or user defined location,set location weather temperature Monday Tuesday Wednesday Thursday Friday Saturday Sunday ,set content view get last known location,s country and shows the appropriate rating guide based on their location,12.58440046131092,26.08695602268432, you can use your current location to get gps information and get directions to your friends on your location,14.693669140636414,23.999999507200005
mobi.infolife.ezweather.widget.newyear.winter,This clock weather app displays weather temperature based on your current location,location,we may track information such as your current location or user defined location,set location weather temperature Monday Tuesday Wednesday Thursday Friday Saturday Sunday ,set content view get last known location,s country and shows the appropriate rating guide based on their location,12.58440046131092,26.08695602268432, you can use your current location to get gps information and get directions to your friends on your location,14.693669140636414,23.999999507200005
com.team48dreams.wallpaper,View all your photos on the phone,storage,read external storage: to load photo from user's phone. we do not save or transfer user's data,open photos select back settings exit,create get external file directory set content view click open get image id list show preview, and logging scanned file paths and associated uri on the external storage,9.516904983982284,22.22222174691359, save your photo to your photo and share it to your device,3.707947408994927,13.333332835555575
com.coffeemeetsbagel,Permissions to access location are strongly suggested,location,"Geolocation.??With your permission, your mobile device 's geographic location (GPS) when you first register for Coffee Meets Bagel through our mobile app or when you enable location services within the app.",get location,enable location run register activity get instance get last known location request location get instance,s permission to access the external storage,16.862012739611025,28.571428071428578, access your location with a location,11.00814556571441,33.33333284722222
com.lifesaverapp,LifeSaver does use text messaging for some features so text messages charges may apply if not included in your current plan,sms,Contacts ?? Used only to provide text alerts to the specified contact.,Send SMS by LifeSaver Prepare to Send SMS SMS Sent,get view finish menu item click complete create cross image send multi media message click send text message, it calls the getlocation  this method might be used to show a location s location for some purpose,5.299405107424154,10.810810314097903, read and sms your calendar,0.38835221914227736,7.999999680000014
com.com2us.tinyfarm.normal3.freefull.google.global.android.common,CONTACTS: The permission is required to sync your friend list and Google Account,contact,App needs to access contact book in your device,Login Backup Restore Contacts Select Exit,load contacts,s location and displays a dialog with an error message if permission is not granted,9.995837470371209,14.285713788265324, this app uses read contacts of your contacts,4.524384760075078,9.999999545000023
com.com2us.soccerspirits.normal2.freefull.google.global.android.common,CONTACTS: The permission is required to sync your friend list and Google Account,contact,App needs to access contact book in your device,Login Backup Restore Contacts Select Exit,load contacts,s location and displays a dialog with an error message if permission is not granted,9.995837470371209,14.285713788265324, this app uses read contacts of your contacts,4.524384760075078,9.999999545000023
com.com2us.homerunbattle2.normal.freefull.google.global.android.common,CONTACTS: The permission is required to sync your friend list and Google Account,contact,App needs to access contact book in your device,Login Backup Restore Contacts Select Exit,load contacts,s location and displays a dialog with an error message if permission is not granted,9.995837470371209,14.285713788265324, this app uses read contacts of your contacts,4.524384760075078,9.999999545000023
video.player.hd.videoplayer,Browse files and folders in storage,storage,"we only require read external storage permission, we do not save, modify or delete content to your storage space.",check all your files in the device return forward exit,get external storage directory get file path show , and external storage permission check,12.999515964919592,36.36363586776859, download and download your contacts,7.800262836784081,19.99999952000001
video.player.mediaplayer.hdvideoplayer,Browse files and folders in storage,storage,"we only require read external storage permission, we do not save, modify or delete content to your storage space.",check all your files in the device return forward exit,get external storage directory get file path show , and external storage permission check,12.999515964919592,36.36363586776859, download and download your contacts,7.800262836784081,19.99999952000001
com.funforfones.android.dcmetro,Location based station and stop finder,location,"Used for accessing the User's approximate and precise device location. This Application may collect, use, and share User location Data in order to provide location-based services.",From station To station Leaving after Arriving by Plan Trip ,get last known location get latitude set latitude get longitude set longitude find get distance,s camera  start and stop the camera preview  and toggle an information overlay on the camera view,6.638763294693575,21.052631146814413, location to gps the gps of gps,6.553810101428183,18.181817685950424
app.tools.soundmeter.decibel.noisedetector,The sound meter app uses your microphone to measure noise volume in decibels(dB),microphone,the sole purpose to record audio with the application is to generate and display processed data on screen in form of a spectrogram or analyzer viewallows the application to record audio for anlyzation purposes it also allows the application to modify global audio settings such as volume and recording source,sound meter start record return noise volume rate exit,start record click run check request permission set play icon gift request result back start activity start recorder , camera  the app can access and use the camera and microphone to capture and record media,9.354933536308875,23.99999950080001, this app will record your voice or voice and be voice your voice and the voice the microphone,7.364918818369501,24.99999950347222
connectappzone.recoverdeletedphotovideo,Contact Recovery can restore your deleted contacts from your internal phone database and restore them in the original Contact thread,contact,"We may also collect information about others if you use our Services to upload, share and/or distribute Content that contains information about them, including their name, image and online contact information.",Recover Deleted Contacts ,choose activity click add historical record persist historical data background background execute executor ,deleted contacts  the app allows users to view and recover deleted contacts from their android device  a list of recovered contacts,13.85012967165274,17.14285664326532, location and help the route you will share the places you or be it in a time and location in gps,4.945376757305659,12.121211621671279
com.wsyx.android.weather,A fully integrated GPS for current location awareness,location,"Our Service may have the ability to use your geographic location to deliver content, services, and advertising tailored to your location. If you choose to enable our Service to use your location information, then that information will be stored and used to deliver content, services, and advertising tailored to your location.",Getting Current Location Failed to determine the current location unknown location Use Current Location,request location register handle intent process update set latitude set longitude run get time, location  and gps status  and view current location,19.25084938305322,42.85714236734694, this app will be your location to get a location,7.590056485051298,23.529411266435996
com.wbff.android.weather,A fully integrated GPS for current location awareness,location,"Our Service may have the ability to use your geographic location to deliver content, services, and advertising tailored to your location. If you choose to enable our Service to use your location information, then that information will be stored and used to deliver content, services, and advertising tailored to your location.",Getting Current Location Failed to determine the current location unknown location Use Current Location,request location register handle intent process update set latitude set longitude run get time, location  and gps status  and view current location,19.25084938305322,42.85714236734694, this app will be your location to get a location,7.590056485051298,23.529411266435996
com.kbzk.android.weather,A fully integrated GPS for current location awareness,location,"Our Service may have the ability to use your geographic location to deliver content, services, and advertising tailored to your location. If you choose to enable our Service to use your location information, then that information will be stored and used to deliver content, services, and advertising tailored to your location.",Getting Current Location Failed to determine the current location unknown location Use Current Location,request location register handle intent process update set latitude set longitude run get time, location  and gps status  and view current location,19.25084938305322,42.85714236734694, this app will be your location to get a location,7.590056485051298,23.529411266435996
de.rwth_aachen.phyphox,Location: Used to access GPS for location-based experiments,location,We may ask for permission to access your current precise location using gps.,get current position,start gps location get sensor get altitude sensor get speed sensor get bearing sensor get last known location get time set local time ,s permission to access the external storage,12.671419689363876,26.6666661688889, location to help the location to get gps of phone,10.534115315621317,24.99999950000001
com.nzherald.activities,Set your weather based on your geo-location or chosen location,location,We collect general location information (e.g. your physical or postal address or your device 's IP address) or more specific location information (e.g. precise location from your mobile GPS) when you use certain features of our services. ,get current location breaking news get weather set location,click get weather request location update get current location set latitude set longitude display,s country and shows the appropriate rating guide based on their location,12.58440046131092,28.57142808163266, location to gps the gps of gps and gps of gps to phone,3.4127942869901453,12.499999507812518
ma.mazdev.adanmuslim,You can also download mp3 on your phone to listen without internet connection,storage,this app reads the content of your external storage (usb or sd card).,free mp3 downloader,get external storage directory,s camera  users can also toggle the camera  view the current camera settings,8.756876221003553,17.39130385633272, save your own music music and external in app will be be text download stored etc etc,4.403409902392706,7.4074069080933125
com.knowyourcustomer.idcheck,Take a photo of your face (selfie) and photos of the ID documents that the app will ask for,camera,This app requestt permission to access your camera.,Album,open camera release camera disconnect camera close camera stop preview set camera preview size face detection, is to provide a centralized location for handling errors that may occur during the execution of the app,14.975123246788206,23.52941126470589, take a photo or select a photo from gallery or take photo from your phone camera,11.600499639719201,29.62962916323732
com.jiochat.jiochatapp,make free voice and video calls to your friends and family,microphone,"the microphone request is used for live events or to record videos, which this app can support",free audio video call app stay connected with your friend and family now start call audio video exit ,create click start activity run background set audio source set click listener click place call click start activity run background set video source click start call place call, which allows users to share their location with friends and contacts  allowing users to easily share their location with friends and contacts,8.325573149802048,26.086956030245755, the application can record the microphone and the application you can record the microphone and use it,4.403409902392706,10.526315290858749
com.caynax.hourlychime,to calculate sunrise/sunset time for current location,location,Access your phone's position: to be able to locate you on a map,sunrise time sunset time location exit,create handle message get time get last known location , location  and gps status  and view current location,14.59874131984243,30.76923027218935, access your location to provide time locations,15.260012568756967,28.571428071428578
coocent.media.music.ringtone.cutter,Select mp3/music from your mobile or Recordings,microphone,"we only require read external storage permission, we do not save, modify or delete content to your storage space.",start recording stop save cancel exit,run set audio sourcce click start recording start, or scanning files from the external storage,11.02752140323762,14.285713785714302, download and download your contacts,6.386315066566426,18.181817719008276
yong.tools.ringtone.Cutter,Select mp3/music from your mobile or Recordings,microphone,"we only require read external storage permission, we do not save, modify or delete content to your storage space.",start recording stop save cancel exit,run set audio sourcce click start recording start, or scanning files from the external storage,11.02752140323762,14.285713785714302, download and download your contacts,6.386315066566426,18.181817719008276
com.video.master,20+ well-designed video styles for you to edit and record unique moment,camera,need permission to access device camera.,start recording style cancel apply exit,get camera device auto focus set parameter set click listener click dispatch take video intent, camera  the app can access and use the camera and microphone to capture and record media,9.354933536308875,24.99999950000001, take pictures and videos with the camera,3.2083630734742763,10.526315324099745
com.tinybeans,save your photo,storage,"some sensitive permissions, such as storage, is used in our app",Photos Select Press + to Save Photo Scan Photo Vault,"handle wrapper event create get group view receive handle command handle command call handle command get external storage directory 
", and save the image to the device,6.553810101428183,22.222221777777783, download and download your favorite files,7.757368003220255,24.999999531250005
com.mobisys.biod.questabird,Join quests and compete with other players to photograph animals and plants in the wild,camera,"In order for you to upload a photo or video, we request access to a photo gallery, camera and / or microphone on your tablet or phone.",take picture upload cancel,set content view get camera number set preview auto focus get picture format get picture size click take photo, and saving the state of the activity before being saved in the device,9.932132771957749,23.999999507200005, take a photo with your camera or select your photo from gallery,2.887752345712836,8.33333284722225
com.bhmedia.quran2,Accurate prayer times based on your location,location,"When you use a location-enabled Fotoable service, we may collect and process information about your actual location, like GPS signals sent by a mobile device.",Cancel Add an event Done Search Settings,request location run receive activity activity stopped activity get store user location get location activity result check location provider prompt enable get user parse user location,s country and shows the appropriate rating guide based on their location,12.58440046131092,31.578946903047093, location and location for location and gps you to send you to your current location,5.002885807638644,24.999999507812507
escapemusic.android.a046bobmarley,Listen to the FREE built-in playlist and add more songs from your personal library,storage,access storage,save exit,get external storage directory get cache , and a download button s external storage  to save the images to the device,10.731292814895088,15.38461488757398, save your own image in your device,2.4110119976571536,9.999999580000019
escapemusic.android01.a821nehasharma,Listen to the FREE built-in playlist and add more songs from your personal library,storage,access storage,save exit,get external storage directory get cache , and a download button s external storage  to save the images to the device,10.731292814895088,15.38461488757398, save your own image in your device,2.4110119976571536,9.999999580000019
tools.photo.hd.camera,Record the shooting location information,location,our app need access to your location data.,find your current location,run get provider start run run get current location, including its location s location  access location information,14.59874131984243,36.36363586776859, location to gps the location to get gps of different the you of time to your time on your location,3.7328414715536686,24.999999570312507
timeclock365.live,GPS location tracker,location,"Location Information: We may collect information about the location of your device each time you access or use one of our mobile applications or other location aware software connected to our services or otherwise consent to the collection of this information. For more details, please see ??Your Choices?? below.","To continue, please, allow the following location permissions Searching Location",get longitude get latitude get last known location get speed get time, location services,15.87876182352661,39.99999952000001, location access and location for location,7.757368003220255,28.57142808163266
com.servizing.society,Notifications can also be broadcasted through sms service,sms,permission required: read SMS and receive sms,TextView New OK Cancel ,receive create get display address get display message body , users can also set their preferred language and location,12.875748761461924,23.529411266436, you can send and messages to your friends and send you to send a text text,2.755514749401011,11.111110617283973
com.taf.shuvayatra,a new user interface and user targeted content based on the different migration stages and current location of migrant workers,location,Location permission is requested for use by our apps.,Current Location,new search request get longitude get latitude get last known location get time , the activity also sets some internal state variables and initializes the camera orientation based on the value of a preference,16.439230996661244,27.777777277777787, location access by gps location on the map,4.295445105833966,15.999999596800011
net.serverdata.ringscape,One-tap calling of your contacts,contact,android.permission.READ_CONTACTS (read phone contacts) necessary to be able to make phone calls from the application,Back to Call Call Contacts,open contact photo input stream , contacts or deleting items,9.701582390972348,22.22222172839508, read contacts and read contacts to scan,6.553810101428183,19.999999500000015
com.nuance.powershare_mobile,The app also allows you to take clinical images from the camera or device storage and upload them securely to your account so they can be easily shared with physicians or medical facilities.,storage,"If you use a Nuance medical information sharing Product, such as PowerShare, we will collect the personal data and healthcare images you submit.",Save Image Gallery Select Image Take a Photo Done,search get external cache execute load click get external cache execute executor get external cache execute click focus change execute set view appr add image cache post execute execute activity result execute load image execute refresh click get external storage directory,s camera or gallery  the app includes a dialog that prompts users to grant permission for the app to access the camera and external storage  and provides options to select images from the gallery or camera,18.53344252236424,24.999999502551027, you can download the share your external storage to a photo from your device,4.170593537794043,23.255813531638726
com.obplanner,READ_EXTERNAL_STORAGE : Some devices store ringtones in external storage,storage,"WRITE_EXTERNAL_STORAGE: Used to cache the data on the device 
for faster loading next time.",Backup Backup/Restore Create a backup of the encrypted database in your storage,"invoke get external storage directory get file parse path strategy invoke suspend get path strategy attach get storage state 
", in the external storage directory if the ,16.687481468726432,39.99999952000001, you can download the share your external storage to a photo from your device,8.109618008555142,18.18181769834712
com.callonthego.android_alpha,You can import thousands of contacts into separate groups from a spreadsheet (CSV) in seconds. The contacts are synced real-time from your computer with your Android app.,contact,"We may request access or permission to certain features from your mobile device, including your mobile device's contacts, and other features.",create contact csv file update import contact from file,start call resume start next selected call update list view selection post execute post execute start task handle result post execute start next call get selected contact call context item selected handle call record result get post execute set current call , for displaying and managing a list of contacts in a social media app  the ui includes features such as searching for contacts  and selecting contacts for various actions,8.977135961548603,17.39130384877128, this app is you to provide you to share your location,1.5503070293828296,12.12121172451792
com.fueled.bnc.georgemason,Use our app to scan the barcode and order from your phone,camera,"Access to device camera to scan QR code and barcode, this is main feature of the app.",free barcode scanner,set content view get camera id list set click listener click open camera set parameter auto focus,s camera and launches the vomail app to record a voice message,15.481343694991605,16.666666166666683, scan your camera to scan and barcode,15.70696576831317,33.3333328888889
com.fueled.bnc.chapelhill,Use our app to scan the barcode and order from your phone,camera,"Access to device camera to scan QR code and barcode, this is main feature of the app.",free barcode scanner,set content view get camera id list set click listener click open camera set parameter auto focus,s camera and launches the vomail app to record a voice message,15.481343694991605,16.666666166666683, scan your camera to scan and barcode,15.70696576831317,33.3333328888889
com.qmx.myfleet,Individual car location and walking navigation to it,location,"we provide location based service such as routing, navigation. Therefore, access your location information is necessary.",find your car settings quit,run get provider do backgroundget last known location, it also enables features like location and database access,16.99519067876034,23.529411266436, location with gps and provide locations to provide you are you are,8.73609029824592,35.294117148788935
com.mmi.maps,share your location,location,we and/or our service providers may collect your location information when you access our services,share find your location,get current location set click listener click share location information, location services,15.87876182352661,39.99999952000001, this app is you to display a location information and get gps based,3.4127942869901453,12.499999695312509
com.appslogix.personal.tracking.gps.map.free,share your location,location,we and/or our service providers may collect your location information when you access our services,share find your location,get current location set click listener click share location information, location services,15.87876182352661,39.99999952000001, this app is you to display a location information and get gps based,3.4127942869901453,12.499999695312509
